UserID,ClubID,DateJoined
1,1,2002-10-09
1,2,2004-09-02
1,3,2003-02-09
1,4,2009-05-02
1,7,1971-04-14
1,8,1972-07-22
1,9,1989-08-16
2,3,1984-05-04
2,4,1986-01-16
2,7,2006-07-14
2,8,1991-07-05
3,3,1987-10-30
3,6,2013-05-31
3,7,1988-10-11
3,8,2011-07-26
3,9,1993-11-14
4,4,1990-08-25
4,5,2017-01-01
4,6,1986-12-13
4,7,2006-09-15
4,8,1985-12-13
4,9,1976-08-09
5,1,1973-06-22
5,2,2016-09-20
5,6,2001-10-11
5,7,1989-06-09
5,9,2002-10-21
6,1,1988-06-22
6,4,1992-10-27
6,7,2000-03-29
6,8,1996-02-26
6,9,2021-05-31
7,1,1986-07-08
7,2,1978-10-25
7,3,2020-12-12
7,4,2012-10-24
7,6,1978-08-21
7,7,1991-10-26
7,8,1984-02-25
7,9,2013-02-20
8,1,1989-09-29
8,2,1976-06-15
8,5,2018-05-27
8,6,2024-02-14
8,7,1986-06-09
8,8,2015-07-02
8,9,1973-04-12
9,1,2004-01-30
9,3,2014-11-16
9,6,1999-05-10
9,7,2009-11-23
9,8,2021-10-10
9,9,1976-02-14
